sgRNA	gene
HGLibA_23542	hsa-mir-1266
HGLibA_23543	hsa-mir-1266
HGLibA_23544	hsa-mir-1267
HGLibA_23545	hsa-mir-1267
HGLibA_23546	hsa-mir-1267
HGLibA_23547	hsa-mir-1267
HGLibA_23548	hsa-mir-1268a
HGLibA_23549	hsa-mir-1268a
HGLibA_23550	hsa-mir-1268a
HGLibA_23551	hsa-mir-1268a
HGLibA_23552	hsa-mir-1268b
HGLibA_23553	hsa-mir-1268b
HGLibA_23554	hsa-mir-1268b
HGLibA_23555	hsa-mir-1268b
HGLibA_23556	hsa-mir-1269a
HGLibA_23557	hsa-mir-1269a
HGLibA_23558	hsa-mir-1269a
HGLibA_23559	hsa-mir-1269a
HGLibA_23560	hsa-mir-1269b
HGLibA_23561	hsa-mir-1269b
HGLibA_23562	hsa-mir-1269b
HGLibA_23563	hsa-mir-1269b
HGLibA_23564	hsa-mir-127
HGLibA_23565	hsa-mir-127
HGLibA_23566	hsa-mir-127
HGLibA_23567	hsa-mir-127
HGLibA_23568	hsa-mir-1270-1
HGLibA_23569	hsa-mir-1270-1
HGLibA_23570	hsa-mir-1270-1
HGLibA_23571	hsa-mir-1270-1
HGLibA_23572	hsa-mir-1270-2
HGLibA_23573	hsa-mir-1270-2
HGLibA_23574	hsa-mir-1270-2
HGLibA_23575	hsa-mir-1270-2
HGLibA_23576	hsa-mir-1271
HGLibA_23577	hsa-mir-1271
HGLibA_23578	hsa-mir-1271
HGLibA_23579	hsa-mir-1271
HGLibA_23580	hsa-mir-1272
HGLibA_23581	hsa-mir-1272
HGLibA_23582	hsa-mir-1272
HGLibA_23583	hsa-mir-1272
HGLibA_23584	hsa-mir-1273a
HGLibA_23585	hsa-mir-1273a
HGLibA_23586	hsa-mir-1273a
HGLibA_23587	hsa-mir-1273a
HGLibA_23588	hsa-mir-1273c
HGLibA_23589	hsa-mir-1273c
HGLibA_23590	hsa-mir-1273c
HGLibA_23591	hsa-mir-1273c
HGLibA_23592	hsa-mir-1273d
HGLibA_23593	hsa-mir-1273d
HGLibA_23594	hsa-mir-1273d
HGLibA_23595	hsa-mir-1273d
HGLibA_23596	hsa-mir-1273f
HGLibA_23597	hsa-mir-1273f
HGLibA_23598	hsa-mir-1273f
HGLibA_23599	hsa-mir-1273f
HGLibA_23600	hsa-mir-1273g
HGLibA_23601	hsa-mir-1273g
HGLibA_23602	hsa-mir-1273g
HGLibA_23603	hsa-mir-1273g
HGLibA_23604	hsa-mir-1273h
HGLibA_23605	hsa-mir-1273h
HGLibA_23606	hsa-mir-1273h
HGLibA_23607	hsa-mir-1273h
HGLibA_23608	hsa-mir-1275
HGLibA_23609	hsa-mir-1275
HGLibA_23610	hsa-mir-1275
HGLibA_23611	hsa-mir-1275
HGLibA_23612	hsa-mir-1276
HGLibA_23613	hsa-mir-1276
HGLibA_23614	hsa-mir-1276
HGLibA_23615	hsa-mir-1276
HGLibA_23616	hsa-mir-1277
HGLibA_23617	hsa-mir-1277
HGLibA_23618	hsa-mir-1277
HGLibA_23619	hsa-mir-1277
HGLibA_23620	hsa-mir-1278
HGLibA_23621	hsa-mir-1278
HGLibA_23622	hsa-mir-1278
HGLibA_23623	hsa-mir-1279
HGLibA_23624	hsa-mir-1279
HGLibA_23625	hsa-mir-128-1
HGLibA_23626	hsa-mir-128-1
HGLibA_23627	hsa-mir-128-1
HGLibA_23628	hsa-mir-128-1
HGLibA_23629	hsa-mir-128-2
HGLibA_23630	hsa-mir-128-2
HGLibA_23631	hsa-mir-128-2
HGLibA_23632	hsa-mir-128-2
HGLibA_23633	hsa-mir-1281
HGLibA_23634	hsa-mir-1281
HGLibA_23635	hsa-mir-1281
HGLibA_23636	hsa-mir-1281
HGLibA_23637	hsa-mir-1282
HGLibA_23638	hsa-mir-1282
HGLibA_23639	hsa-mir-1282
HGLibA_23640	hsa-mir-1282
HGLibA_23641	hsa-mir-1283-1
HGLibA_23642	hsa-mir-1283-1
HGLibA_23643	hsa-mir-1283-1
HGLibA_23644	hsa-mir-1283-1
HGLibA_23645	hsa-mir-1283-2
HGLibA_23646	hsa-mir-1283-2
HGLibA_23647	hsa-mir-1283-2
HGLibA_23648	hsa-mir-1283-2
HGLibA_23649	hsa-mir-1284
HGLibA_23650	hsa-mir-1284
HGLibA_23651	hsa-mir-1284
HGLibA_23652	hsa-mir-1284
HGLibA_23653	hsa-mir-1285-1
HGLibA_23654	hsa-mir-1285-1
HGLibA_23655	hsa-mir-1285-1
HGLibA_23656	hsa-mir-1285-1
HGLibA_23657	hsa-mir-1285-2
HGLibA_23658	hsa-mir-1285-2
HGLibA_23659	hsa-mir-1285-2
HGLibA_23660	hsa-mir-1285-2
HGLibA_23661	hsa-mir-1286
HGLibA_23662	hsa-mir-1286
HGLibA_23663	hsa-mir-1286
HGLibA_23664	hsa-mir-1286
HGLibA_23665	hsa-mir-1287
HGLibA_23666	hsa-mir-1287
HGLibA_23667	hsa-mir-1287
HGLibA_23668	hsa-mir-1287
HGLibA_23669	hsa-mir-1288
HGLibA_23670	hsa-mir-1288
HGLibA_23671	hsa-mir-1288
HGLibA_23672	hsa-mir-1288
HGLibA_23673	hsa-mir-1289-1
HGLibA_23674	hsa-mir-1289-1
HGLibA_23675	hsa-mir-1289-1
HGLibA_23676	hsa-mir-1289-1
HGLibA_23677	hsa-mir-1289-2
HGLibA_23678	hsa-mir-1289-2
HGLibA_23679	hsa-mir-1289-2
HGLibA_23680	hsa-mir-1289-2
HGLibA_23681	hsa-mir-129-1
HGLibA_23682	hsa-mir-129-1
HGLibA_23683	hsa-mir-129-1
HGLibA_23684	hsa-mir-129-1
HGLibA_23685	hsa-mir-129-2
HGLibA_23686	hsa-mir-129-2
HGLibA_23687	hsa-mir-129-2
HGLibA_23688	hsa-mir-129-2
HGLibA_23689	hsa-mir-1290
HGLibA_23690	hsa-mir-1290
HGLibA_23691	hsa-mir-1290
HGLibA_23692	hsa-mir-1290
HGLibA_23693	hsa-mir-1291
HGLibA_23694	hsa-mir-1291
HGLibA_23695	hsa-mir-1291
HGLibA_23696	hsa-mir-1291
HGLibA_23697	hsa-mir-1292
HGLibA_23698	hsa-mir-1292
HGLibA_23699	hsa-mir-1292
HGLibA_23700	hsa-mir-1292
HGLibA_23701	hsa-mir-1293
HGLibA_23702	hsa-mir-1293
HGLibA_23703	hsa-mir-1293
HGLibA_23704	hsa-mir-1293
HGLibA_23705	hsa-mir-1294
HGLibA_23706	hsa-mir-1294
HGLibA_23707	hsa-mir-1294
HGLibA_23708	hsa-mir-1294
HGLibA_23709	hsa-mir-1295a
HGLibA_23710	hsa-mir-1295a
HGLibA_23711	hsa-mir-1295a
HGLibA_23712	hsa-mir-1295a
HGLibA_23713	hsa-mir-1295b
HGLibA_23714	hsa-mir-1295b
HGLibA_23715	hsa-mir-1295b
HGLibA_23716	hsa-mir-1295b
HGLibA_23717	hsa-mir-1296
HGLibA_23718	hsa-mir-1296
HGLibA_23719	hsa-mir-1296
HGLibA_23720	hsa-mir-1296
HGLibA_23721	hsa-mir-1297
HGLibA_23722	hsa-mir-1297
HGLibA_23723	hsa-mir-1297
HGLibA_23724	hsa-mir-1298
HGLibA_23725	hsa-mir-1298
HGLibA_23726	hsa-mir-1298
HGLibA_23727	hsa-mir-1298
HGLibA_23728	hsa-mir-1299
HGLibA_23729	hsa-mir-1299
HGLibA_23730	hsa-mir-1299
HGLibA_23731	hsa-mir-1299
HGLibA_23732	hsa-mir-1301
HGLibA_23733	hsa-mir-1301
HGLibA_23734	hsa-mir-1301
HGLibA_23735	hsa-mir-1301
HGLibA_23736	hsa-mir-1302-1
HGLibA_23737	hsa-mir-1302-1
HGLibA_23738	hsa-mir-1302-1
HGLibA_23739	hsa-mir-1302-1
HGLibA_23740	hsa-mir-1302-10
HGLibA_23741	hsa-mir-1302-10
HGLibA_23742	hsa-mir-1302-10
HGLibA_23743	hsa-mir-1302-10
HGLibA_23744	hsa-mir-1302-11
HGLibA_23745	hsa-mir-1302-11
HGLibA_23746	hsa-mir-1302-11
HGLibA_23747	hsa-mir-1302-11
HGLibA_23748	hsa-mir-1302-2
HGLibA_23749	hsa-mir-1302-2
HGLibA_23750	hsa-mir-1302-2
HGLibA_23751	hsa-mir-1302-2
HGLibA_23752	hsa-mir-1302-3
HGLibA_23753	hsa-mir-1302-3
HGLibA_23754	hsa-mir-1302-3
HGLibA_23755	hsa-mir-1302-3
HGLibA_23756	hsa-mir-1302-4
HGLibA_23757	hsa-mir-1302-4
HGLibA_23758	hsa-mir-1302-4
HGLibA_23759	hsa-mir-1302-4
HGLibA_23760	hsa-mir-1302-5
HGLibA_23761	hsa-mir-1302-5
HGLibA_23762	hsa-mir-1302-5
HGLibA_23763	hsa-mir-1302-5
HGLibA_23764	hsa-mir-1302-6
HGLibA_23765	hsa-mir-1302-6
HGLibA_23766	hsa-mir-1302-6
HGLibA_23767	hsa-mir-1302-6
HGLibA_23768	hsa-mir-1302-7
HGLibA_23769	hsa-mir-1302-7
HGLibA_23770	hsa-mir-1302-7
HGLibA_23771	hsa-mir-1302-7
HGLibA_23772	hsa-mir-1302-8
HGLibA_23773	hsa-mir-1302-8
HGLibA_23774	hsa-mir-1302-8
HGLibA_23775	hsa-mir-1302-8
HGLibA_23776	hsa-mir-1302-9
HGLibA_23777	hsa-mir-1302-9
HGLibA_23778	hsa-mir-1302-9
HGLibA_23779	hsa-mir-1302-9
HGLibA_23780	hsa-mir-1303
HGLibA_23781	hsa-mir-1303
HGLibA_23782	hsa-mir-1303
HGLibA_23783	hsa-mir-1303
HGLibA_23784	hsa-mir-1304
HGLibA_23785	hsa-mir-1304
HGLibA_23786	hsa-mir-1304
HGLibA_23787	hsa-mir-1304
HGLibA_23788	hsa-mir-1305
HGLibA_23789	hsa-mir-1305
HGLibA_23790	hsa-mir-1305
HGLibA_23791	hsa-mir-1305
HGLibA_23792	hsa-mir-1306
HGLibA_23793	hsa-mir-1306
HGLibA_23794	hsa-mir-1306
HGLibA_23795	hsa-mir-1306
HGLibA_23796	hsa-mir-1307
HGLibA_23797	hsa-mir-1307
HGLibA_23798	hsa-mir-1307
HGLibA_23799	hsa-mir-1307
HGLibA_23800	hsa-mir-130a
HGLibA_23801	hsa-mir-130a
HGLibA_23802	hsa-mir-130a
HGLibA_23803	hsa-mir-130a
HGLibA_23804	hsa-mir-130b
HGLibA_23805	hsa-mir-130b
HGLibA_23806	hsa-mir-130b
HGLibA_23807	hsa-mir-130b
HGLibA_23808	hsa-mir-132
HGLibA_23809	hsa-mir-132
HGLibA_23810	hsa-mir-132
HGLibA_23811	hsa-mir-132
HGLibA_23812	hsa-mir-1321
HGLibA_23813	hsa-mir-1321
HGLibA_23814	hsa-mir-1321
HGLibA_23815	hsa-mir-1321
HGLibA_23816	hsa-mir-1322
HGLibA_23817	hsa-mir-1323
HGLibA_23818	hsa-mir-1323
HGLibA_23819	hsa-mir-1323
HGLibA_23820	hsa-mir-1323
HGLibA_23821	hsa-mir-1324
HGLibA_23822	hsa-mir-1324
HGLibA_23823	hsa-mir-1324
HGLibA_23824	hsa-mir-1324
HGLibA_23825	hsa-mir-133a-1
HGLibA_23826	hsa-mir-133a-1
HGLibA_23827	hsa-mir-133a-1
HGLibA_23828	hsa-mir-133a-1
HGLibA_23829	hsa-mir-133a-2
HGLibA_23830	hsa-mir-133a-2
HGLibA_23831	hsa-mir-133a-2
HGLibA_23832	hsa-mir-133a-2
HGLibA_23833	hsa-mir-133b
HGLibA_23834	hsa-mir-133b
HGLibA_23835	hsa-mir-133b
HGLibA_23836	hsa-mir-133b
HGLibA_23837	hsa-mir-134
HGLibA_23838	hsa-mir-134
HGLibA_23839	hsa-mir-134
HGLibA_23840	hsa-mir-134
HGLibA_23841	hsa-mir-1343
HGLibA_23842	hsa-mir-1343
HGLibA_23843	hsa-mir-1343
HGLibA_23844	hsa-mir-1343
HGLibA_23845	hsa-mir-135a-1
HGLibA_23846	hsa-mir-135a-1
HGLibA_23847	hsa-mir-135a-1
HGLibA_23848	hsa-mir-135a-1
HGLibA_23849	hsa-mir-135a-2
HGLibA_23850	hsa-mir-135a-2
HGLibA_23851	hsa-mir-135a-2
HGLibA_23852	hsa-mir-135a-2
HGLibA_23853	hsa-mir-135b
HGLibA_23854	hsa-mir-135b
HGLibA_23855	hsa-mir-135b
HGLibA_23856	hsa-mir-135b
HGLibA_23857	hsa-mir-136
HGLibA_23858	hsa-mir-136
HGLibA_23859	hsa-mir-136
HGLibA_23860	hsa-mir-136
HGLibA_23861	hsa-mir-137
HGLibA_23862	hsa-mir-137
HGLibA_23863	hsa-mir-137
HGLibA_23864	hsa-mir-137
HGLibA_23865	hsa-mir-138-1
HGLibA_23866	hsa-mir-138-1
HGLibA_23867	hsa-mir-138-1
HGLibA_23868	hsa-mir-138-1
HGLibA_23869	hsa-mir-138-2
HGLibA_23870	hsa-mir-138-2
HGLibA_23871	hsa-mir-138-2
HGLibA_23872	hsa-mir-138-2
HGLibA_23873	hsa-mir-139
HGLibA_23874	hsa-mir-139
HGLibA_23875	hsa-mir-139
HGLibA_23876	hsa-mir-139
HGLibA_23877	hsa-mir-140
HGLibA_23878	hsa-mir-140
HGLibA_23879	hsa-mir-140
HGLibA_23880	hsa-mir-140
HGLibA_23881	hsa-mir-141
HGLibA_23882	hsa-mir-141
HGLibA_23883	hsa-mir-141
HGLibA_23884	hsa-mir-141
HGLibA_23885	hsa-mir-142
HGLibA_23886	hsa-mir-142
HGLibA_23887	hsa-mir-142
HGLibA_23888	hsa-mir-142
HGLibA_23889	hsa-mir-143
HGLibA_23890	hsa-mir-143
HGLibA_23891	hsa-mir-143
HGLibA_23892	hsa-mir-143
HGLibA_23893	hsa-mir-144
HGLibA_23894	hsa-mir-144
HGLibA_23895	hsa-mir-144
HGLibA_23896	hsa-mir-144
HGLibA_23897	hsa-mir-145
HGLibA_23898	hsa-mir-145
HGLibA_23899	hsa-mir-145
HGLibA_23900	hsa-mir-145
HGLibA_23901	hsa-mir-1468
HGLibA_23902	hsa-mir-1468
HGLibA_23903	hsa-mir-1468
HGLibA_23904	hsa-mir-1468
HGLibA_23905	hsa-mir-1469
HGLibA_23906	hsa-mir-1469
HGLibA_23907	hsa-mir-1469
HGLibA_23908	hsa-mir-1469
HGLibA_23909	hsa-mir-146a
HGLibA_23910	hsa-mir-146a
HGLibA_23911	hsa-mir-146a
HGLibA_23912	hsa-mir-146a
HGLibA_23913	hsa-mir-146b
HGLibA_23914	hsa-mir-146b
HGLibA_23915	hsa-mir-146b
HGLibA_23916	hsa-mir-146b
HGLibA_23917	hsa-mir-1470
HGLibA_23918	hsa-mir-1470
HGLibA_23919	hsa-mir-1470
HGLibA_23920	hsa-mir-1470
HGLibA_23921	hsa-mir-1471
HGLibA_23922	hsa-mir-1471
HGLibA_23923	hsa-mir-1471
HGLibA_23924	hsa-mir-1471
HGLibA_23925	hsa-mir-147a
HGLibA_23926	hsa-mir-147a
HGLibA_23927	hsa-mir-147a
HGLibA_23928	hsa-mir-147a
HGLibA_23929	hsa-mir-147b
HGLibA_23930	hsa-mir-147b
HGLibA_23931	hsa-mir-147b
HGLibA_23932	hsa-mir-147b
HGLibA_23933	hsa-mir-148a
HGLibA_23934	hsa-mir-148a
HGLibA_23935	hsa-mir-148a
HGLibA_23936	hsa-mir-148b
HGLibA_23937	hsa-mir-148b
HGLibA_23938	hsa-mir-148b
HGLibA_23939	hsa-mir-148b
HGLibA_23940	hsa-mir-149
HGLibA_23941	hsa-mir-149
HGLibA_23942	hsa-mir-149
HGLibA_23943	hsa-mir-149
HGLibA_23944	hsa-mir-150
HGLibA_23945	hsa-mir-150
HGLibA_23946	hsa-mir-150
HGLibA_23947	hsa-mir-150
HGLibA_23948	hsa-mir-151a
HGLibA_23949	hsa-mir-151a
HGLibA_23950	hsa-mir-151a
HGLibA_23951	hsa-mir-151a
HGLibA_23952	hsa-mir-151b
HGLibA_23953	hsa-mir-151b
HGLibA_23954	hsa-mir-151b
HGLibA_23955	hsa-mir-151b
HGLibA_23956	hsa-mir-152
HGLibA_23957	hsa-mir-152
HGLibA_23958	hsa-mir-152
HGLibA_23959	hsa-mir-152
HGLibA_23960	hsa-mir-153-1
HGLibA_23961	hsa-mir-153-1
HGLibA_23962	hsa-mir-153-1
HGLibA_23963	hsa-mir-153-1
HGLibA_23964	hsa-mir-153-2
HGLibA_23965	hsa-mir-153-2
HGLibA_23966	hsa-mir-153-2
HGLibA_23967	hsa-mir-153-2
HGLibA_23968	hsa-mir-1537
HGLibA_23969	hsa-mir-1537
HGLibA_23970	hsa-mir-1537
HGLibA_23971	hsa-mir-1538
HGLibA_23972	hsa-mir-1538
HGLibA_23973	hsa-mir-1538
HGLibA_23974	hsa-mir-1538
HGLibA_23975	hsa-mir-1539
HGLibA_23976	hsa-mir-1539
HGLibA_23977	hsa-mir-1539
HGLibA_23978	hsa-mir-1539
HGLibA_23979	hsa-mir-154
HGLibA_23980	hsa-mir-154
HGLibA_23981	hsa-mir-154
HGLibA_23982	hsa-mir-154
HGLibA_23983	hsa-mir-155
HGLibA_23984	hsa-mir-155
HGLibA_23985	hsa-mir-155
HGLibA_23986	hsa-mir-155
HGLibA_23987	hsa-mir-1587
HGLibA_23988	hsa-mir-1587
HGLibA_23989	hsa-mir-1587
HGLibA_23990	hsa-mir-1587
HGLibA_23991	hsa-mir-15a
HGLibA_23992	hsa-mir-15a
HGLibA_23993	hsa-mir-15a
HGLibA_23994	hsa-mir-15a
HGLibA_23995	hsa-mir-15b
HGLibA_23996	hsa-mir-15b
HGLibA_23997	hsa-mir-15b
HGLibA_23998	hsa-mir-15b
HGLibA_23999	hsa-mir-16-1
HGLibA_24000	hsa-mir-16-1
HGLibA_24001	hsa-mir-16-1
HGLibA_24002	hsa-mir-16-1
HGLibA_24003	hsa-mir-16-2
HGLibA_24004	hsa-mir-16-2
HGLibA_24005	hsa-mir-16-2
HGLibA_24006	hsa-mir-16-2
HGLibA_24007	hsa-mir-17
HGLibA_24008	hsa-mir-17
HGLibA_24009	hsa-mir-17
HGLibA_24010	hsa-mir-17
HGLibA_24011	hsa-mir-181a-1
HGLibA_24012	hsa-mir-181a-1
HGLibA_24013	hsa-mir-181a-1
HGLibA_24014	hsa-mir-181a-1
HGLibA_24015	hsa-mir-181a-2
HGLibA_24016	hsa-mir-181a-2
HGLibA_24017	hsa-mir-181a-2
HGLibA_24018	hsa-mir-181a-2
HGLibA_24019	hsa-mir-181b-1
HGLibA_24020	hsa-mir-181b-1
HGLibA_24021	hsa-mir-181b-1
HGLibA_24022	hsa-mir-181b-1
HGLibA_24023	hsa-mir-181b-2
HGLibA_24024	hsa-mir-181b-2
HGLibA_24025	hsa-mir-181b-2
HGLibA_24026	hsa-mir-181b-2
HGLibA_24027	hsa-mir-181c
HGLibA_24028	hsa-mir-181c
HGLibA_24029	hsa-mir-181c
HGLibA_24030	hsa-mir-181c
HGLibA_24031	hsa-mir-181d
HGLibA_24032	hsa-mir-181d
HGLibA_24033	hsa-mir-181d
HGLibA_24034	hsa-mir-181d
HGLibA_24035	hsa-mir-182
HGLibA_24036	hsa-mir-182
HGLibA_24037	hsa-mir-182
HGLibA_24038	hsa-mir-182
HGLibA_24039	hsa-mir-1825
HGLibA_24040	hsa-mir-1825
HGLibA_24041	hsa-mir-1825
HGLibA_24042	hsa-mir-1825
HGLibA_24043	hsa-mir-1827
HGLibA_24044	hsa-mir-1827
HGLibA_24045	hsa-mir-1827
HGLibA_24046	hsa-mir-1827
HGLibA_24047	hsa-mir-183
HGLibA_24048	hsa-mir-183
HGLibA_24049	hsa-mir-183
HGLibA_24050	hsa-mir-183
HGLibA_24051	hsa-mir-184
HGLibA_24052	hsa-mir-184
HGLibA_24053	hsa-mir-184
HGLibA_24054	hsa-mir-184
HGLibA_24055	hsa-mir-185
HGLibA_24056	hsa-mir-185
HGLibA_24057	hsa-mir-185
HGLibA_24058	hsa-mir-185
HGLibA_24059	hsa-mir-186
HGLibA_24060	hsa-mir-186
HGLibA_24061	hsa-mir-186
HGLibA_24062	hsa-mir-186
HGLibA_24063	hsa-mir-187
HGLibA_24064	hsa-mir-187
HGLibA_24065	hsa-mir-187
HGLibA_24066	hsa-mir-187
HGLibA_24067	hsa-mir-188
HGLibA_24068	hsa-mir-188
HGLibA_24069	hsa-mir-188
HGLibA_24070	hsa-mir-188
HGLibA_24071	hsa-mir-18a
HGLibA_24072	hsa-mir-18a
HGLibA_24073	hsa-mir-18a
HGLibA_24074	hsa-mir-18a
HGLibA_24075	hsa-mir-18b
HGLibA_24076	hsa-mir-18b
HGLibA_24077	hsa-mir-18b
HGLibA_24078	hsa-mir-18b
HGLibA_24079	hsa-mir-1908
HGLibA_24080	hsa-mir-1908
HGLibA_24081	hsa-mir-1908
HGLibA_24082	hsa-mir-1908
HGLibA_24083	hsa-mir-1909
HGLibA_24084	hsa-mir-1909
HGLibA_24085	hsa-mir-1909
HGLibA_24086	hsa-mir-1909
HGLibA_24087	hsa-mir-190a
HGLibA_24088	hsa-mir-190a
HGLibA_24089	hsa-mir-190a
HGLibA_24090	hsa-mir-190a
HGLibA_24091	hsa-mir-190b
HGLibA_24092	hsa-mir-190b
HGLibA_24093	hsa-mir-190b
HGLibA_24094	hsa-mir-190b
HGLibA_24095	hsa-mir-191
HGLibA_24096	hsa-mir-191
HGLibA_24097	hsa-mir-191
HGLibA_24098	hsa-mir-191
HGLibA_24099	hsa-mir-1910
HGLibA_24100	hsa-mir-1910
HGLibA_24101	hsa-mir-1910
HGLibA_24102	hsa-mir-1910
HGLibA_24103	hsa-mir-1911
HGLibA_24104	hsa-mir-1911
HGLibA_24105	hsa-mir-1911
HGLibA_24106	hsa-mir-1911
HGLibA_24107	hsa-mir-1912
HGLibA_24108	hsa-mir-1912
HGLibA_24109	hsa-mir-1913
HGLibA_24110	hsa-mir-1913
HGLibA_24111	hsa-mir-1913
HGLibA_24112	hsa-mir-1913
HGLibA_24113	hsa-mir-1914
HGLibA_24114	hsa-mir-1914
HGLibA_24115	hsa-mir-1914
HGLibA_24116	hsa-mir-1914
HGLibA_24117	hsa-mir-1915
HGLibA_24118	hsa-mir-1915
HGLibA_24119	hsa-mir-1915
HGLibA_24120	hsa-mir-1915
HGLibA_24121	hsa-mir-192
HGLibA_24122	hsa-mir-192
HGLibA_24123	hsa-mir-192
HGLibA_24124	hsa-mir-192
HGLibA_24125	hsa-mir-193a
HGLibA_24126	hsa-mir-193a
HGLibA_24127	hsa-mir-193a
HGLibA_24128	hsa-mir-193a
HGLibA_24129	hsa-mir-193b
HGLibA_24130	hsa-mir-193b
HGLibA_24131	hsa-mir-193b
HGLibA_24132	hsa-mir-193b
HGLibA_24133	hsa-mir-194-1
HGLibA_24134	hsa-mir-194-1
HGLibA_24135	hsa-mir-194-1
HGLibA_24136	hsa-mir-194-1
HGLibA_24137	hsa-mir-194-2
HGLibA_24138	hsa-mir-194-2
HGLibA_24139	hsa-mir-194-2
HGLibA_24140	hsa-mir-194-2
HGLibA_24141	hsa-mir-195
HGLibA_24142	hsa-mir-195
HGLibA_24143	hsa-mir-195
HGLibA_24144	hsa-mir-195
HGLibA_24145	hsa-mir-196a-1
HGLibA_24146	hsa-mir-196a-1
HGLibA_24147	hsa-mir-196a-1
HGLibA_24148	hsa-mir-196a-1
HGLibA_24149	hsa-mir-196a-2
HGLibA_24150	hsa-mir-196a-2
HGLibA_24151	hsa-mir-196a-2
HGLibA_24152	hsa-mir-196a-2
HGLibA_24153	hsa-mir-196b
HGLibA_24154	hsa-mir-196b
HGLibA_24155	hsa-mir-196b
HGLibA_24156	hsa-mir-196b
HGLibA_24157	hsa-mir-197
HGLibA_24158	hsa-mir-197
HGLibA_24159	hsa-mir-197
HGLibA_24160	hsa-mir-197
HGLibA_24161	hsa-mir-1972-1
HGLibA_24162	hsa-mir-1972-1
HGLibA_24163	hsa-mir-1972-1
HGLibA_24164	hsa-mir-1972-1
HGLibA_24165	hsa-mir-1972-2
HGLibA_24166	hsa-mir-1972-2
HGLibA_24167	hsa-mir-1972-2
HGLibA_24168	hsa-mir-1972-2
HGLibA_24169	hsa-mir-1973
HGLibA_24170	hsa-mir-1973
HGLibA_24171	hsa-mir-1973
HGLibA_24172	hsa-mir-1973
HGLibA_24173	hsa-mir-1976
HGLibA_24174	hsa-mir-1976
HGLibA_24175	hsa-mir-1976
HGLibA_24176	hsa-mir-1976
HGLibA_24177	hsa-mir-198
HGLibA_24178	hsa-mir-198
HGLibA_24179	hsa-mir-198
HGLibA_24180	hsa-mir-198
HGLibA_24181	hsa-mir-199a-1
HGLibA_24182	hsa-mir-199a-1
HGLibA_24183	hsa-mir-199a-1
HGLibA_24184	hsa-mir-199a-1
HGLibA_24185	hsa-mir-199a-2
HGLibA_24186	hsa-mir-199a-2
HGLibA_24187	hsa-mir-199a-2
HGLibA_24188	hsa-mir-199a-2
HGLibA_24189	hsa-mir-199b
HGLibA_24190	hsa-mir-199b
HGLibA_24191	hsa-mir-199b
HGLibA_24192	hsa-mir-199b
HGLibA_24193	hsa-mir-19a
HGLibA_24194	hsa-mir-19a
HGLibA_24195	hsa-mir-19a
HGLibA_24196	hsa-mir-19b-1
HGLibA_24197	hsa-mir-19b-1
HGLibA_24198	hsa-mir-19b-1
HGLibA_24199	hsa-mir-19b-1
HGLibA_24200	hsa-mir-19b-2
HGLibA_24201	hsa-mir-19b-2
HGLibA_24202	hsa-mir-19b-2
HGLibA_24203	hsa-mir-200a
HGLibA_24204	hsa-mir-200a
HGLibA_24205	hsa-mir-200a
HGLibA_24206	hsa-mir-200a
HGLibA_24207	hsa-mir-200b
HGLibA_24208	hsa-mir-200b
HGLibA_24209	hsa-mir-200b
HGLibA_24210	hsa-mir-200b
HGLibA_24211	hsa-mir-200c
HGLibA_24212	hsa-mir-200c
HGLibA_24213	hsa-mir-200c
HGLibA_24214	hsa-mir-200c
HGLibA_24215	hsa-mir-202
HGLibA_24216	hsa-mir-202
HGLibA_24217	hsa-mir-202
HGLibA_24218	hsa-mir-202
HGLibA_24219	hsa-mir-203a
HGLibA_24220	hsa-mir-203a
HGLibA_24221	hsa-mir-203a
HGLibA_24222	hsa-mir-203a
HGLibA_24223	hsa-mir-203b
HGLibA_24224	hsa-mir-203b
HGLibA_24225	hsa-mir-203b
HGLibA_24226	hsa-mir-203b
HGLibA_24227	hsa-mir-204
HGLibA_24228	hsa-mir-204
HGLibA_24229	hsa-mir-204
HGLibA_24230	hsa-mir-204
HGLibA_24231	hsa-mir-205
HGLibA_24232	hsa-mir-205
HGLibA_24233	hsa-mir-205
HGLibA_24234	hsa-mir-205
HGLibA_24235	hsa-mir-2052
HGLibA_24236	hsa-mir-2052
HGLibA_24237	hsa-mir-2053
HGLibA_24238	hsa-mir-2053
HGLibA_24239	hsa-mir-2053
HGLibA_24240	hsa-mir-2053
HGLibA_24241	hsa-mir-2054
HGLibA_24242	hsa-mir-2054
HGLibA_24243	hsa-mir-2054
HGLibA_24244	hsa-mir-206
HGLibA_24245	hsa-mir-206
HGLibA_24246	hsa-mir-206
HGLibA_24247	hsa-mir-206
HGLibA_24248	hsa-mir-208a
HGLibA_24249	hsa-mir-208a
HGLibA_24250	hsa-mir-208a
HGLibA_24251	hsa-mir-208a
HGLibA_24252	hsa-mir-208b
HGLibA_24253	hsa-mir-208b
HGLibA_24254	hsa-mir-208b
HGLibA_24255	hsa-mir-208b
HGLibA_24256	hsa-mir-20a
HGLibA_24257	hsa-mir-20b
HGLibA_24258	hsa-mir-20b
HGLibA_24259	hsa-mir-20b
HGLibA_24260	hsa-mir-20b
HGLibA_24261	hsa-mir-21
HGLibA_24262	hsa-mir-21
HGLibA_24263	hsa-mir-21
HGLibA_24264	hsa-mir-21
HGLibA_24265	hsa-mir-210
