sgRNA	gene
HGLibA_00218	ABCG2
HGLibA_00219	ABCG2
HGLibA_00220	ABCG4
HGLibA_00221	ABCG4
HGLibA_00222	ABCG4
HGLibA_00223	ABCG5
HGLibA_00224	ABCG5
HGLibA_00225	ABCG5
HGLibA_00226	ABCG8
HGLibA_00227	ABCG8
HGLibA_00228	ABCG8
HGLibA_00229	ABHD1
HGLibA_00230	ABHD1
HGLibA_00231	ABHD1
HGLibA_00232	ABHD10
HGLibA_00233	ABHD10
HGLibA_00234	ABHD10
HGLibA_00235	ABHD11
HGLibA_00236	ABHD11
HGLibA_00237	ABHD11
HGLibA_00238	ABHD12
HGLibA_00239	ABHD12
HGLibA_00240	ABHD12
HGLibA_00241	ABHD12B
HGLibA_00242	ABHD12B
HGLibA_00243	ABHD12B
HGLibA_00244	ABHD13
HGLibA_00245	ABHD13
HGLibA_00246	ABHD13
HGLibA_00247	ABHD14A
HGLibA_00248	ABHD14A
HGLibA_00249	ABHD14A
HGLibA_00250	ABHD14B
HGLibA_00251	ABHD14B
HGLibA_00252	ABHD14B
HGLibA_00253	ABHD15
HGLibA_00254	ABHD15
HGLibA_00255	ABHD15
HGLibA_00256	ABHD16A
HGLibA_00257	ABHD16A
HGLibA_00258	ABHD16A
HGLibA_00259	ABHD16B
HGLibA_00260	ABHD16B
HGLibA_00261	ABHD16B
HGLibA_00262	ABHD17A
HGLibA_00263	ABHD17A
HGLibA_00264	ABHD17A
HGLibA_00265	ABHD17B
HGLibA_00266	ABHD17B
HGLibA_00267	ABHD17B
HGLibA_00268	ABHD17C
HGLibA_00269	ABHD17C
HGLibA_00270	ABHD17C
HGLibA_00271	ABHD2
HGLibA_00272	ABHD2
HGLibA_00273	ABHD2
HGLibA_00274	ABHD3
HGLibA_00275	ABHD3
HGLibA_00276	ABHD3
HGLibA_00277	ABHD4
HGLibA_00278	ABHD4
HGLibA_00279	ABHD4
HGLibA_00280	ABHD5
HGLibA_00281	ABHD5
HGLibA_00282	ABHD5
HGLibA_00283	ABHD6
HGLibA_00284	ABHD6
HGLibA_00285	ABHD6
HGLibA_00286	ABHD8
HGLibA_00287	ABHD8
HGLibA_00288	ABHD8
HGLibA_00289	ABI1
HGLibA_00290	ABI1
HGLibA_00291	ABI1
HGLibA_00292	ABI2
HGLibA_00293	ABI2
HGLibA_00294	ABI2
HGLibA_00295	ABI3
HGLibA_00296	ABI3
HGLibA_00297	ABI3
HGLibA_00298	ABI3BP
HGLibA_00299	ABI3BP
HGLibA_00300	ABI3BP
HGLibA_00301	ABL1
HGLibA_00302	ABL1
HGLibA_00303	ABL1
HGLibA_00304	ABL2
HGLibA_00305	ABL2
HGLibA_00306	ABL2
HGLibA_00307	ABLIM1
HGLibA_00308	ABLIM1
HGLibA_00309	ABLIM1
HGLibA_00310	ABLIM2
HGLibA_00311	ABLIM2
HGLibA_00312	ABLIM2
HGLibA_00313	ABLIM3
HGLibA_00314	ABLIM3
HGLibA_00315	ABLIM3
HGLibA_00316	ABO
HGLibA_00317	ABO
HGLibA_00318	ABO
HGLibA_00319	ABP1
HGLibA_00320	ABP1
HGLibA_00321	ABP1
HGLibA_00322	ABR
HGLibA_00323	ABR
HGLibA_00324	ABR
HGLibA_00325	ABRA
HGLibA_00326	ABRA
HGLibA_00327	ABRA
HGLibA_00328	ABRACL
HGLibA_00329	ABRACL
HGLibA_00330	ABRACL
HGLibA_00331	ABT1
HGLibA_00332	ABT1
HGLibA_00333	ABT1
HGLibA_00334	ABTB1
HGLibA_00335	ABTB1
HGLibA_00336	ABTB1
HGLibA_00337	ABTB2
HGLibA_00338	ABTB2
HGLibA_00339	ABTB2
HGLibA_00340	ACAA1
HGLibA_00341	ACAA1
HGLibA_00342	ACAA1
HGLibA_00343	ACAA2
HGLibA_00344	ACAA2
HGLibA_00345	ACAA2
HGLibA_00346	ACACA
HGLibA_00347	ACACA
HGLibA_00348	ACACA
HGLibA_00349	ACACB
HGLibA_00350	ACACB
HGLibA_00351	ACACB
HGLibA_00352	ACAD10
HGLibA_00353	ACAD10
HGLibA_00354	ACAD10
HGLibA_00355	ACAD11
HGLibA_00356	ACAD11
HGLibA_00357	ACAD11
HGLibA_00358	ACAD8
HGLibA_00359	ACAD8
HGLibA_00360	ACAD8
HGLibA_00361	ACAD9
HGLibA_00362	ACAD9
HGLibA_00363	ACAD9
HGLibA_00364	ACADL
HGLibA_00365	ACADL
HGLibA_00366	ACADL
HGLibA_00367	ACADM
HGLibA_00368	ACADM
